v,R,c,k,max_tilt,final_tilt,max_omega
5.0,77.14285714285714,30.0,1500.0,0.20803917673648917,0.061308377157347445,0.2547824708592777
5.0,77.14285714285714,30.0,2000.0,0.1567821761746122,0.12542834258984442,0.22178221692566602
5.0,77.14285714285714,30.0,2500.0,0.1258495120493686,0.02994201881301327,0.19898420169102637
5.0,77.14285714285714,30.0,3000.0,0.10515475986045564,0.08354173440418178,0.18212621711308277
5.0,77.14285714285714,30.0,3500.0,0.0903170955536349,0.02198548477614991,0.1689759576329595
5.0,77.14285714285714,52.5,1500.0,0.20241495917318694,0.0790333578295424,0.24789204080486102
5.0,77.14285714285714,52.5,2000.0,0.1530760106440631,0.1093026452258028,0.2165375911251544
5.0,77.14285714285714,52.5,2500.0,0.12317613483399711,0.04248900482857834,0.19478706509260796
5.0,77.14285714285714,52.5,3000.0,0.10310454762319791,0.0728547829419263,0.1785965548271695
5.0,77.14285714285714,52.5,3500.0,0.08868222856344701,0.030908261974409955,0.16584670136820118
5.0,77.14285714285714,75.0,1500.0,0.1970954530976471,0.09019803877646945,0.24126106099849676
5.0,77.14285714285714,75.0,2000.0,0.1495437751210902,0.09901356214276555,0.21146697863801933
5.0,77.14285714285714,75.0,2500.0,0.12061707611686408,0.0505152801483549,0.19071529556481395
5.0,77.14285714285714,75.0,3000.0,0.10113311919169923,0.06603373118763509,0.17516404829202042
5.0,77.14285714285714,75.0,3500.0,0.08710615756886952,0.03656943109931026,0.1628511422774482
5.0,77.14285714285714,97.5,1500.0,0.19205781483211648,0.0971853976289142,0.23490078597024708
5.0,77.14285714285714,97.5,2000.0,0.14618647675866156,0.09244377688135996,0.20656279036324093
5.0,77.14285714285714,97.5,2500.0,0.1181661759576563,0.05565869826817412,0.18676389025728232
5.0,77.14285714285714,97.5,3000.0,0.09923658924996388,0.061673810285717064,0.1718254207499615
5.0,77.14285714285714,97.5,3500.0,0.08558608577032105,0.04017657508166178,0.1600183413261642
5.0,77.14285714285714,120.0,1500.0,0.18728180301328518,0.1015261977675217,0.2289377587766369
5.0,77.14285714285714,120.0,2000.0,0.14298452291492728,0.0882519060510466,0.20194444926706534
5.0,77.14285714285714,120.0,2500.0,0.11581746010291295,0.05895757776241667,0.18292802318551843
5.0,77.14285714285714,120.0,3000.0,0.09741142057950686,0.05888821242098593,0.16857722291896576
5.0,77.14285714285714,120.0,3500.0,0.0841194626917878,0.04245659252993179,0.15725576599628152
5.0,91.42857142857143,30.0,1500.0,0.17553298203905607,0.05172830432620388,0.21497285733504504
5.0,91.42857142857143,30.0,2000.0,0.13228496392574715,0.10583019863349957,0.18712879174282646
5.0,91.42857142857143,30.0,2500.0,0.10618553630537854,0.025263671815215886,0.16789296136526938
